SchemaName,TableName,ColumnName,ColumnCode,PropertyValue,IsPrimaryKey,ValuesMatchPK,MinDistinctValue,MaxDistinctValue,,,,
mrs,z______ADDHSTCT,Cust_Work_Order#_____ATCORD,ATCORD,Cust_Work_Order#_____ATCORD,No,No,NULL,NULL,,1,,"SELECT '1', 'z______ADDHSTCT', * FROM [mrs].[z______ADDHSTCT] WHERE [Cust_Work_Order#_____ATCORD] LIKE '%968207%'"
mrs,z_Additional_Charge_Transaction_File_____ADDCTRAN,Cust_Work_Order#_____ATCORD,ATCORD,Cust_Work_Order#_____ATCORD,No,Yes,     ,     ,,2,,"SELECT '2', 'z_Additional_Charge_Transaction_File_____ADDCTRAN', * FROM [mrs].[z_Additional_Charge_Transaction_File_____ADDCTRAN] WHERE [Cust_Work_Order#_____ATCORD] LIKE '%968207%'"
mrs,z_BDSEPR_-_Buyout_Override_info_____BDSEPRBH,Transaction_#_____BBORDR,BBORDR,Transaction_#_____BBORDR,No,Yes,115,800750,,3,,"SELECT '3', 'z_BDSEPR_-_Buyout_Override_info_____BDSEPRBH', * FROM [mrs].[z_BDSEPR_-_Buyout_Override_info_____BDSEPRBH] WHERE [Transaction_#_____BBORDR] LIKE '%968207%'"
mrs,z_BDSEPR_-_Buyout_Override_info_____BDSEPR,Transaction_#_____BBORDR,BBORDR,Transaction_#_____BBORDR,No,Yes,10132,99716,,4,,"SELECT '4', 'z_BDSEPR_-_Buyout_Override_info_____BDSEPR', * FROM [mrs].[z_BDSEPR_-_Buyout_Override_info_____BDSEPR] WHERE [Transaction_#_____BBORDR] LIKE '%968207%'"
mrs,z______POHSTDET,12_POSITION_ALPHA_____BDMORD,BDMORD,12_POSITION_ALPHA_____BDMORD,No,Yes,            ,            ,,5,,"SELECT '5', 'z______POHSTDET', * FROM [mrs].[z______POHSTDET] WHERE [12_POSITION_ALPHA_____BDMORD] LIKE '%968207%'"
mrs,z_Purchase_Order_Detail_File_____PODETAIL,12_POSITION_ALPHA_____BDMORD,BDMORD,12_POSITION_ALPHA_____BDMORD,No,Yes,            ,            ,,6,,"SELECT '6', 'z_Purchase_Order_Detail_File_____PODETAIL', * FROM [mrs].[z_Purchase_Order_Detail_File_____PODETAIL] WHERE [12_POSITION_ALPHA_____BDMORD] LIKE '%968207%'"
mrs,z_Purchase_Order_Header_File_____POHEADER,New_Order_District_____BHNORD,BHNORD,New_Order_District_____BHNORD,No,Yes,0,1,,7,,"SELECT '7', 'z_Purchase_Order_Header_File_____POHEADER', * FROM [mrs].[z_Purchase_Order_Header_File_____POHEADER] WHERE [New_Order_District_____BHNORD] LIKE '%968207%'"
mrs,z_Purchase_Order_Header_File_____POHEADERBH,New_Order_District_____BHNORD,BHNORD,New_Order_District_____BHNORD,No,Yes,0,1,,8,,"SELECT '8', 'z_Purchase_Order_Header_File_____POHEADERBH', * FROM [mrs].[z_Purchase_Order_Header_File_____POHEADERBH] WHERE [New_Order_District_____BHNORD] LIKE '%968207%'"
mrs,z______POHSTHDR,New_Order_District_____BHNORD,BHNORD,New_Order_District_____BHNORD,No,Yes,0,1,,9,,"SELECT '9', 'z______POHSTHDR', * FROM [mrs].[z______POHSTHDR] WHERE [New_Order_District_____BHNORD] LIKE '%968207%'"
mrs,z_Service_Purchase_Order_Header_File_____SPHEADER,Remote_Move__Order_____BSMORD,BSMORD,Remote_Move__Order_____BSMORD,No,Yes,0,0,,10,,"SELECT '10', 'z_Service_Purchase_Order_Header_File_____SPHEADER', * FROM [mrs].[z_Service_Purchase_Order_Header_File_____SPHEADER] WHERE [Remote_Move__Order_____BSMORD] LIKE '%968207%'"
mrs,z_Service_Purchase_Order_Header_File_____SPHEADER,Transaction_#_____BSORDR,BSORDR,Transaction_#_____BSORDR,No,Yes,100990,99674,,11,,"SELECT '11', 'z_Service_Purchase_Order_Header_File_____SPHEADER', * FROM [mrs].[z_Service_Purchase_Order_Header_File_____SPHEADER] WHERE [Transaction_#_____BSORDR] LIKE '%968207%'"
mrs,z_Service_Purchase_Order_Detail_File_____SPDETAIL,Transaction_#_____BTORDR,BTORDR,Transaction_#_____BTORDR,No,Yes,100344,99674,,12,,"SELECT '12', 'z_Service_Purchase_Order_Detail_File_____SPDETAIL', * FROM [mrs].[z_Service_Purchase_Order_Detail_File_____SPDETAIL] WHERE [Transaction_#_____BTORDR] LIKE '%968207%'"
mrs,z_Customer_Master_History_File_____ARCUSHST,MTD_Number_of_Orders_____CHMORD,CHMORD,MTD_Number_of_Orders_____CHMORD,No,Yes,0,9,,13,,"SELECT '13', 'z_Customer_Master_History_File_____ARCUSHST', * FROM [mrs].[z_Customer_Master_History_File_____ARCUSHST] WHERE [MTD_Number_of_Orders_____CHMORD] LIKE '%968207%'"
mrs,z_Customer_Master_History_File_____ARCUSHST,Total_Number_Open_Orders_____CHOORD,CHOORD,Total_Number_Open_Orders_____CHOORD,No,Yes,0,9,,14,,"SELECT '14', 'z_Customer_Master_History_File_____ARCUSHST', * FROM [mrs].[z_Customer_Master_History_File_____ARCUSHST] WHERE [Total_Number_Open_Orders_____CHOORD] LIKE '%968207%'"
mrs,z_Customer_Master_History_File_____ARCUSHST,Total_Number_Quotes_____CHQORD,CHQORD,Total_Number_Quotes_____CHQORD,No,Yes,0,9,,15,,"SELECT '15', 'z_Customer_Master_History_File_____ARCUSHST', * FROM [mrs].[z_Customer_Master_History_File_____ARCUSHST] WHERE [Total_Number_Quotes_____CHQORD] LIKE '%968207%'"
mrs,z_Customer_Master_History_File_____ARCUSHST,YTD_Number_of_Orders_____CHYORD,CHYORD,YTD_Number_of_Orders_____CHYORD,No,Yes,0,9,,16,,"SELECT '16', 'z_Customer_Master_History_File_____ARCUSHST', * FROM [mrs].[z_Customer_Master_History_File_____ARCUSHST] WHERE [YTD_Number_of_Orders_____CHYORD] LIKE '%968207%'"
mrs,z_Customer_Parent_File_____CUSTPARN,MTD_No_of_Orders_____CPMORD,CPMORD,MTD_No_of_Orders_____CPMORD,No,Yes,0,2,,17,,"SELECT '17', 'z_Customer_Parent_File_____CUSTPARN', * FROM [mrs].[z_Customer_Parent_File_____CUSTPARN] WHERE [MTD_No_of_Orders_____CPMORD] LIKE '%968207%'"
mrs,z_Customer_Parent_File_____CUSTPARN,YTD_No_of_Orders_____CPYORD,CPYORD,YTD_No_of_Orders_____CPYORD,No,Yes,0,67,,18,,"SELECT '18', 'z_Customer_Parent_File_____CUSTPARN', * FROM [mrs].[z_Customer_Parent_File_____CUSTPARN] WHERE [YTD_No_of_Orders_____CPYORD] LIKE '%968207%'"
mrs,z_Credit_Memo_Detail_File_____CRDETAIL,Transaction_#_____CRDORD,CRDORD,Transaction_#_____CRDORD,No,Yes,812278,971739,,19,,"SELECT '19', 'z_Credit_Memo_Detail_File_____CRDETAIL', * FROM [mrs].[z_Credit_Memo_Detail_File_____CRDETAIL] WHERE [Transaction_#_____CRDORD] LIKE '%968207%'"
mrs,z_Credit_Memo_Header_File_____CRHEADER,CREDIT_MEMO_NUMBER_____CRHORD,CRHORD,CREDIT_MEMO_NUMBER_____CRHORD,Yes,No,812278,971739,,20,,"SELECT '20', 'z_Credit_Memo_Header_File_____CRHEADER', * FROM [mrs].[z_Credit_Memo_Header_File_____CRHEADER] WHERE [CREDIT_MEMO_NUMBER_____CRHORD] LIKE '%968207%'"
mrs,z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH,Total_Number_Open_Orders_____CYOORD,CYOORD,Total_Number_Open_Orders_____CYOORD,No,Yes,0,9,,21,,"SELECT '21', 'z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH', * FROM [mrs].[z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH] WHERE [Total_Number_Open_Orders_____CYOORD] LIKE '%968207%'"
mrs,z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH,Total_Number_Quotes_____CYQORD,CYQORD,Total_Number_Quotes_____CYQORD,No,Yes,0,9,,22,,"SELECT '22', 'z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH', * FROM [mrs].[z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH] WHERE [Total_Number_Quotes_____CYQORD] LIKE '%968207%'"
mrs,z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH,YTD_Number_of_Orders_____CYYORD,CYYORD,YTD_Number_of_Orders_____CYYORD,No,Yes,0,99,,23,,"SELECT '23', 'z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH', * FROM [mrs].[z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH] WHERE [YTD_Number_of_Orders_____CYYORD] LIKE '%968207%'"
mrs,z_Quote_/_Order_Detail_History_File_____OEHISTRD,Transaction_#_____DHORDR,DHORDR,Transaction_#_____DHORDR,No,Yes,100000,99998,,24,,"SELECT '24', 'z_Quote_/_Order_Detail_History_File_____OEHISTRD', * FROM [mrs].[z_Quote_/_Order_Detail_History_File_____OEHISTRD] WHERE [Transaction_#_____DHORDR] LIKE '%968207%'"
mrs,z_Quote_/_Order_Detail_History_File_____OEHISTRD,Quote/Order_Number_____DHQORD,DHQORD,Quote/Order_Number_____DHQORD,No,Yes,0,99998,,25,,"SELECT '25', 'z_Quote_/_Order_Detail_History_File_____OEHISTRD', * FROM [mrs].[z_Quote_/_Order_Detail_History_File_____OEHISTRD] WHERE [Quote/Order_Number_____DHQORD] LIKE '%968207%'"
mrs,z_Daily_invoicing_analysis_____WFOE895,Order_Number_____DLORDR,DLORDR,Order_Number_____DLORDR,Yes,No,967017,970996,,26,,"SELECT '26', 'z_Daily_invoicing_analysis_____WFOE895', * FROM [mrs].[z_Daily_invoicing_analysis_____WFOE895] WHERE [Order_Number_____DLORDR] LIKE '%968207%'"
mrs,z_Delivery_Tracking_Performance_File_____DELTRACK,Transaction_#_____DPORDR,DPORDR,Transaction_#_____DPORDR,Yes,No,600082,971809,,27,,"SELECT '27', 'z_Delivery_Tracking_Performance_File_____DELTRACK', * FROM [mrs].[z_Delivery_Tracking_Performance_File_____DELTRACK] WHERE [Transaction_#_____DPORDR] LIKE '%968207%'"
mrs,z_Tolerance_Details_for_Main_Lines_____TLDETAIL,Transaction_#_____DTORDR,DTORDR,Transaction_#_____DTORDR,No,Yes,100934,99949,,28,,"SELECT '28', 'z_Tolerance_Details_for_Main_Lines_____TLDETAIL', * FROM [mrs].[z_Tolerance_Details_for_Main_Lines_____TLDETAIL] WHERE [Transaction_#_____DTORDR] LIKE '%968207%'"
mrs,z_Sales_Description_Override_____SLSDSCOV,Transaction_#_____DXORDR,DXORDR,Transaction_#_____DXORDR,No,Yes,100934,99949,,29,,"SELECT '29', 'z_Sales_Description_Override_____SLSDSCOV', * FROM [mrs].[z_Sales_Description_Override_____SLSDSCOV] WHERE [Transaction_#_____DXORDR] LIKE '%968207%'"
mrs,z_MW_Email_Log_File_____EMAILLOG,ORDER_NUMBER_____EMORDR,EMORDR,ORDER_NUMBER_____EMORDR,No,Yes,0,971924,,30,,"SELECT '30', 'z_MW_Email_Log_File_____EMAILLOG', * FROM [mrs].[z_MW_Email_Log_File_____EMAILLOG] WHERE [ORDER_NUMBER_____EMORDR] LIKE '%968207%'"
mrs,z_Daily_Flash_Report_____FLASHRPT,NUMBER_OF_ORDERS_____FLNORD,FLNORD,NUMBER_OF_ORDERS_____FLNORD,No,Yes,0,0,,31,,"SELECT '31', 'z_Daily_Flash_Report_____FLASHRPT', * FROM [mrs].[z_Daily_Flash_Report_____FLASHRPT] WHERE [NUMBER_OF_ORDERS_____FLNORD] LIKE '%968207%'"
mrs,z_Item_Master_File_____ITEMMAST,Last_Receipt_Purchase_Order_____IMPORD,IMPORD,Last_Receipt_Purchase_Order_____IMPORD,No,Yes,0,518446,,32,,"SELECT '32', 'z_Item_Master_File_____ITEMMAST', * FROM [mrs].[z_Item_Master_File_____ITEMMAST] WHERE [Last_Receipt_Purchase_Order_____IMPORD] LIKE '%968207%'"
mrs,z_Item_Master_File_____ITEMMASTXX,Last_Receipt_Purchase_Order_____IMPORD,IMPORD,Last_Receipt_Purchase_Order_____IMPORD,No,Yes,0,0,,33,,"SELECT '33', 'z_Item_Master_File_____ITEMMASTXX', * FROM [mrs].[z_Item_Master_File_____ITEMMASTXX] WHERE [Last_Receipt_Purchase_Order_____IMPORD] LIKE '%968207%'"
mrs,z_Item_Master_File_____ITEMBG,Last_Receipt_Purchase_Order_____IMPORD,IMPORD,Last_Receipt_Purchase_Order_____IMPORD,No,Yes,0,0,,34,,"SELECT '34', 'z_Item_Master_File_____ITEMBG', * FROM [mrs].[z_Item_Master_File_____ITEMBG] WHERE [Last_Receipt_Purchase_Order_____IMPORD] LIKE '%968207%'"
mrs,z_Item_on_Hand_File_____ITEMONHD,Ordering_District_____IOORDI,IOORDI,Ordering_District_____IOORDI,No,Yes,1,1,,35,,"SELECT '35', 'z_Item_on_Hand_File_____ITEMONHD', * FROM [mrs].[z_Item_on_Hand_File_____ITEMONHD] WHERE [Ordering_District_____IOORDI] LIKE '%968207%'"
mrs,z_Item_on_Hand_File_____ITEMONHDXX,Ordering_District_____IOORDI,IOORDI,Ordering_District_____IOORDI,No,Yes,1,1,,36,,"SELECT '36', 'z_Item_on_Hand_File_____ITEMONHDXX', * FROM [mrs].[z_Item_on_Hand_File_____ITEMONHDXX] WHERE [Ordering_District_____IOORDI] LIKE '%968207%'"
mrs,z_Tag_Master_File_____ITEMTAG,Mill_Order_Number_Original_____ITMORD,ITMORD,Mill_Order_Number_Original_____ITMORD,No,Yes,                      ,                      ,,37,,"SELECT '37', 'z_Tag_Master_File_____ITEMTAG', * FROM [mrs].[z_Tag_Master_File_____ITEMTAG] WHERE [Mill_Order_Number_Original_____ITMORD] LIKE '%968207%'"
mrs,z_Tag_Master_File_____ITEMTAGB4,Mill_Order_Number_Original_____ITMORD,ITMORD,Mill_Order_Number_Original_____ITMORD,No,Yes,                      ,                      ,,38,,"SELECT '38', 'z_Tag_Master_File_____ITEMTAGB4', * FROM [mrs].[z_Tag_Master_File_____ITEMTAGB4] WHERE [Mill_Order_Number_Original_____ITMORD] LIKE '%968207%'"
mrs,z_Tag_Master_File_____ITEMTAGLAH,Mill_Order_Number_Original_____ITMORD,ITMORD,Mill_Order_Number_Original_____ITMORD,No,Yes,                      ,                      ,,39,,"SELECT '39', 'z_Tag_Master_File_____ITEMTAGLAH', * FROM [mrs].[z_Tag_Master_File_____ITEMTAGLAH] WHERE [Mill_Order_Number_Original_____ITMORD] LIKE '%968207%'"
