ITEM_NUMBER_____IOITEM,PK (Potential - Name),2612,Distinct: 2612,"50511, 50666, 52538, 51412, 50848",nvarchar,(MAX),2612,0,0,0.00%,0.00%,1,1
Coil_Piece_Count_____IOQCOL,Category/Code (Low Distinct),3,"0.0 (2609), 1.0 (2), 2.0 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,3
Costing_Unit_Of_Measure_____IOCUOM,Category/Code (Low Distinct),3,"FT  (2572), LB  (38), EA  (2)","FT , FT , FT , FT , FT ",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,3
Last_Maintained_Purchasing_User_____IOLPUS,Category/Code (Low Distinct),5,"BHILTON    (1055), CFRIEND    (6), NTOVAR     (3), LCARNER    (1), SR         (1)","BHILTON   , BHILTON   ,           ,           ,           ",nvarchar,(MAX),2612,0,1546,0.00%,59.19%,0,3
Last_Maintained_Sales_User_____IOLSUS,Category/Code (Low Distinct),3,"BHILTON    (1055), CFRIEND    (6), NTOVAR     (3)","          ,           , BHILTON   , BHILTON   , BHILTON   ",nvarchar,(MAX),2612,0,1548,0.00%,59.26%,0,3
Matl._Prcs_Reserve_____IOMPRS,Category/Code (Low Distinct),9,"0.0 (2604), 0.001 (1), 0.5 (1), 1.0 (1), 13.25 (1), 4.0830000000000002 (1), 49.0 (1), 63.835000000000001 (1), 81.332999999999998 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,3
Qty_On_Order_Rsrvd_____IOQOOR,Category/Code (Low Distinct),3,"0.0 (2610), 21062.483 (1), 27341.208999999999 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,3
R/I_On_Hand_Qty_____IOROH,Category/Code (Low Distinct),5,"0.0 (2608), 0.5 (1), 15.975 (1), 166.251 (1), 9.0830000000000002 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,3
R/I_On_Order_Qty_____IOROO,Category/Code (Low Distinct),9,"0.0 (2603), 0.5 (2), 1.0 (1), 13.25 (1), 2.1659999999999999 (1), 4.0830000000000002 (1), 63.75 (1), 81.332999999999998 (1), 81.667000000000002 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,3
Top_Item_Percentage_____IOTOPP,Category/Code (Low Distinct),3,"0.0 (2567), 1.0 (42), 2.0 (3)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,3
"VALUES_=_LB_,_CWT,_EA_,_MPC_FT_,_CFT,_SFT,_CSF_____IOPUOM",Category/Code (Low Distinct),3,"LB  (2568), FT  (42), EA  (2)","LB , LB , LB , LB , LB ",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,3
3_POSITION_CLASS_____IOCLS3,Text,29,Distinct: 29,"ATH, ATH, ATH, ABH, ATH",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Average_Cost_____IOACST,Text,1725,Distinct: 1725,"0.0, 232.26310000000001, 598.92319999999995, 122.8203, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Average_Month_Sales_Qty_____IOAVMQ,Text,668,Distinct: 668,"0.0, 0.0, 0.0, 0.0, 10.833",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Avg._12_mos._Usage_____IOAV12,Text,947,Distinct: 947,"0.79900000000000004, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Avg._3_mos._Usage_____IOAVG3,Text,668,Distinct: 668,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Avg._OnHand_Dollars_____IOAVOS,Text,1111,Distinct: 1111,"0.0, 0.0, 298.01999999999998, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Avg._OnHand_Qty_____IOAVOH,Text,1184,Distinct: 1184,"3.8330000000000002, 10.75, 0.0, 21.0, 9.75",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Base_Price_____IOBPRC,Text,195,Distinct: 195,"8.1699999999999999, 1.5, 2.6499999999999999, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
BOM_Extended_Cost_____IOBOMC,Text,1094,Distinct: 1094,"151087.88, 0.0, 0.0, 195546.89000000001, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
BOM_Inventory_____IOBOMI,Text,1081,Distinct: 1081,"0.0, 4.0, 617.33299999999997, 2.0, 473.33499999999998",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
BOM_Weight_____IOBOMW,Text,1548,Distinct: 1548,"0.0, 9371.5499999999993, 0.0, 0.0, 16172.333000000001",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Curr._YTD_Activity_Dol._____IOUSDL,Text,1001,Distinct: 1001,"0.0, 0.0, 17414.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Curr._YTD_Activity_Qty_____IOUSQT,Text,296,Distinct: 296,"0.0, 0.0, 0.0, 0.0, 11.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Current_Year_Accumulated_Inv._Balance_(Dollars)_____IOCYIB,Text,1104,Distinct: 1104,"0.0, 0.0, 1356.48, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Current_Year_Accumulated_Inv._Balance_(units)_____IOCYIU,Text,1196,Distinct: 1196,"16.748999999999999, 0.0, 1.7490000000000001, 949.74599999999998, 45.667000000000002",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Customer_Order_Reserve_____IOCORS,Text,222,Distinct: 222,"8.4589999999999996, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
First_Acquisition_Cost_____IO1ACQ,Text,190,Distinct: 190,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Inventory_Turns_$_____IOITDL,Text,434,Distinct: 434,"2.8199999999999998, 0.38, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Inventory_Turns_Units_____IOITUN,Text,469,Distinct: 469,"0.66000000000000003, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Last_Receipt_Cost_____IOLRCS,Text,1485,Distinct: 1485,"0.0, 0.0, 208.05189999999999, 135.60249999999999, 187.18199999999999",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Months_Positive_Inv_____IOPMON,Text,100,Distinct: 100,"79.0, 28.0, 39.0, 13.0, 36.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
MTD_Cost_Dollars_GP_____IOMCST,Text,477,Distinct: 477,"0.0, 0.0, 0.0, 476.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
MTD_Sales_Dollars_GP_____IOMSLS,Text,479,Distinct: 479,"0.0, 0.0, 3249.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
MTD_Units_Sold_____IOMUNT,Text,442,Distinct: 442,"0.0, 0.0, 0.0, 12.271000000000001, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
MTD_Weight_Sold_____IOMWGT,Text,512,Distinct: 512,"1216.8150000000001, 1045.3209999999999, 1459.5940000000001, 155.648, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Number_of_Days_Item_Has_Been_Set_Up_____IOITST,Text,489,Distinct: 489,"999.0, 999.0, 656.0, 788.0, 363.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Number_of_Days_Out_of_Stock_Current_Year_____IODOSC,Text,61,Distinct: 61,"0.0, 80.0, 80.0, 80.0, 80.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Number_of_Days_Out_of_Stock_Last_Year_____IODOSL,Text,177,Distinct: 177,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Number_of_Months_Setup_____IOMOST,Text,100,Distinct: 100,"25.0, 57.0, 43.0, 8.0, 2.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Operating_Level_____IOPLVL,Text,712,Distinct: 712,"0.0, 0.0, 0.0, 128.999, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Prior_EOY_Inventory_Balance_____IOPYIB,Text,1601,Distinct: 1601,"89703.119999999995, 0.0, 0.0, 42905.400000000001, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Prior_Yr._Costs_____IOPCST,Text,1020,Distinct: 1020,"84084.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Prior_Yr._LBs_____IOPLBS,Text,1189,Distinct: 1189,"0.0, 4370.2359999999999, 261.57999999999998, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Prior_Yr._Sales_____IOPSLS,Text,1161,Distinct: 1161,"0.0, 135381.0, 32696.0, 0.0, 3532.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Prior_Yr._Units_____IOPUNT,Text,1099,Distinct: 1099,"1.0, 0.0, 22.75, 37.020000000000003, 3.8740000000000001",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Prior_Yr_Usage_Quantity_____IOPUSQ,Text,999,Distinct: 999,"20.417000000000002, 6.5830000000000002, 93.418000000000006, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Qty_On_Hand_____IOQOH,Text,1068,Distinct: 1068,"0.0, 3.1659999999999999, 0.0, 0.0, 0.75",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Qty_On_Order_____IOQOO,Text,94,Distinct: 94,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Qty_On_Reserved_____IOQOR,Text,228,Distinct: 228,"0.0, 0.0, 0.0, 283.75, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
YTD_Cost_Dollars_GP_____IOYCST,Text,819,Distinct: 819,"0.0, 19010.0, 6746.0, 11810.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
YTD_Sales_Dollars_GP_____IOYSLS,Text,884,Distinct: 884,"0.0, 0.0, 0.0, 0.0, 1612.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
YTD_Units_Sold_____IOYUNT,Text,838,Distinct: 838,"0.0, 0.0, 0.0, 0.0, 5.625",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
YTD_Weight_Sold_____IOYWGT,Text,915,Distinct: 915,"0.0, 0.0, 0.0, 0.0, 8507.9740000000002",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,4
Activity_Adjustment_Percent_____IOATAJ,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
All_Stock_Out_Reserve_____IOASOR,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Anticipated_R/S_____IOANRS,Single Value,1,N (2612),"N, N, N, N, N",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Avg._Months_LBs_____IOAVLB,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Avg._Months_Sales_____IOAVMS,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Base_Price_Lock_____IOBPRL,Single Value,1,N (2612),"N, N, N, N, N",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Budgeted_Inv_____IOBGIN,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Budgeted_Inv_Turns_____IOBGIT,Single Value,1,1.0 (2612),"1.0, 1.0, 1.0, 1.0, 1.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Buyer_____IOBUY,Single Value,1,1.0 (2612),"1.0, 1.0, 1.0, 1.0, 1.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
COMPANY_NUMBER_____IOCOMP,Single Value,1,1.0 (2612),"1.0, 1.0, 1.0, 1.0, 1.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Company_Product_Movement_Lock_____IOCPML,Single Value,1,N (2612),"N, N, N, N, N",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Contract_Item_____IOCNTC,Single Value,1,N (2612),"N, N, N, N, N",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Counter_Price_Lock_____IOCNTL,Single Value,1,N (2612),"N, N, N, N, N",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Cut_Pieces_Occurance_Counter_____IOC,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Display_in_Item_Search_____IODSPS,Single Value,1,Y (2612),"Y, Y, Y, Y, Y",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Distressed_Item_Counter_____IOD,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
DISTRICT_NUMBER_____IODIST,Single Value,1,1.0 (2612),"1.0, 1.0, 1.0, 1.0, 1.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
HFR_Reserve_____IOHFRR,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
INCHES_OF_TRIM_CUT_____IOITRM,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Last_Maintained_Machine_Century_____IOLMCC,Single Value,1,20.0 (2612),"20.0, 20.0, 20.0, 20.0, 20.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Last_Maintained_Machine_Month_____IOLMMM,Single Value,1,4.0 (2612),"4.0, 4.0, 4.0, 4.0, 4.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Last_Maintained_Machine_Year_____IOLMYY,Single Value,1,25.0 (2612),"25.0, 25.0, 25.0, 25.0, 25.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Lead_time_____IOLDTM,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Lead_Time_Lock_____IOLDTL,Single Value,1,N (2612),"N, N, N, N, N",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
LIFO_Base_Year_1_Cost_____IOLFB1,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
LIFO_Base_Year_2_Cost_____IOLFB2,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Local_Product_Movement_Lock_____IOLPML,Single Value,1,N (2612),"N, N, N, N, N",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Machine_Number_____IOMACN,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Manual_Requisition_Quantity_____IOMNRQ,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Min._Balance_____IOMNBL,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Model_Inventory_Flag_____IOMDIF,Single Value,1,Y (2612),"Y, Y, Y, Y, Y",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Non-Std_Dist_Control_____IONSDC,Single Value,1,N (2612),"N, N, N, N, N",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
NOT_USED__l_Qty_____IOTUNA,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Number_Of_Months_For_Calc_Avg_Activity_____IOMAGA,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Number_Of_Orders_Hurdle_____IOHURD,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Operational_Cost_Factor_____IOPCTF,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Ordering_District_____IOORDI,Single Value,1,1.0 (2612),"1.0, 1.0, 1.0, 1.0, 1.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
P.I._CENTURY_____IOPICC,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
P.I._DAY_____IOPIDD,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
P.I._MONTH_____IOPIMM,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
P.I._YEAR_____IOPIYY,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Previous_MAP_Century_____IOPMCC,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Previous_MAP_Code_____IOPMCD,Single Value,1,0 (2612),"0, 0, 0, 0, 0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Previous_MAP_Day_____IOPMDD,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Previous_MAP_Month_____IOPMMM,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Previous_MAP_Year_____IOPMYY,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Pricing_Movement_Code_____IOABCP,Single Value,1,: (1)," ,  ,  ,  ,  ",nvarchar,(MAX),2612,0,2611,0.00%,99.96%,0,7
