TableName,Column3,Rowcount,Prefix1,Suffix1,suffix2,suffix3,InferredName,Column1,TableCode,,Status,ProcessedTableCode,ProcessedTableName,Group,Prefix,Suffix1,Suffix2,Suffix3,Description
z_Image_Index_Available_Fields_with_Descriptions_____IMGPFDS, ,42,,,,,,,IMGPFDS,,Missing,,,,,,,,
z_Inventory_Mill_File_____INVMILL, ,74,,,,,,,INVMILL,,Missing,,,,,,,,
z_Inventory_Reconciliation_File_____IRECONCL, ,26,,,,,,,IRECONCL,,Missing,,,,,,,,
z_Item_Master_File_____ITEMBG, ,1781,,,,,,,ITEMBG,,Missing,,,,,,,,
z_One_Position_Item_Class_File_____ITEMCLS1, ,16,,,,,,,ITEMCLS1,,Missing,,,,,,,,
z_Two_Position_Item_Class_File_____ITEMCLS2, ,69,,,,,,,ITEMCLS2,,Missing,,,,,,,,
z_Three_Position_Item_Class_File_____ITEMCLS3, ,172,,,,,,,ITEMCLS3,,Missing,,,,,,,,
z_District_Class_File_____ITEMCLSD, ,144,,,,,,,ITEMCLSD,,Missing,,,,,,,,
z_Item_Hist_Comments_(From_IA_Only)_____ITEMHCMT, ,106616,,,,,,,ITEMHCMT,,Missing,,,,,,,,
z_Item_Transaction_History_____ITEMHIST, ,722325,,,,,,,ITEMHIST,,Missing,,,,,,,,
z_Item_Master_File_____ITEMMAST, ,2613,,,,,,,ITEMMAST,,Missing,,,,,,,,
z_Item_Master_File_____ITEMMASTXX, ,30170,,,,,,,ITEMMASTXX,,Missing,,,,,,,,
z_MAP_Level_Code_File_____ITEMMPLV, ,5,,,,,,,ITEMMPLV,,Missing,,,,,,,,
z_Item_on_hand_comment_file_____ITEMONCM, ,1079,,,,,,,ITEMONCM,,Missing,,,,,,,,
z_Item_on_Hand_File_____ITEMONHD, ,2612,,,,,,,ITEMONHD,,Missing,,,,,,,,
z_Item_on_Hand_File_____ITEMONHDXX, ,10234,,,,,,,ITEMONHDXX,,Missing,,,,,,,,
z_Item_on_Hand_Summary_File_____ITEMONSU, ,28,,,,,,,ITEMONSU,,Missing,,,,,,,,
z_Item_Summary_-_Begin_Remote_Inventory_Balance_____ITEMRMT, ,59062,,,,,,,ITEMRMT,,Missing,,,,,,,,
z_Base_Item_Description_List_____ITEMS, ,134053,,,,,,,ITEMS,,Missing,,,,,,,,
z_Item_Summary_MTD-Inventory_reports_____ITEMSMT, ,179635,,,,,,,ITEMSMT,,Missing,,,,,,,,
z_Item_Summary_YTD-Inventory_reports_____ITEMSYT, ,19369,,,,,,,ITEMSYT,,Missing,,,,,,,,
z_Tag_Master_File_____ITEMTAG, ,289140,,,,,,,ITEMTAG,,Missing,,,,,,,,
z_Tag_Master_File_____ITEMTAGB4, ,238501,,,,,,,ITEMTAGB4,,Missing,,,,,,,,
z_Tag_Master_File_____ITEMTAGLAH, ,238502,,,,,,,ITEMTAGLAH,,Missing,,,,,,,,
z_Tag_Process_History_File_____ITEMTPHS, ,7100,,,,,,,ITEMTPHS,,Missing,,,,,,,,
z_Itemtrif_-_Item_Tariff_File_____ITEMTRIF, ,263,,,,,,,ITEMTRIF,,Missing,,,,,,,,
z_Item_Tag_User_Defined_fields_____ITEMTUD, ,196770,,,,,,,ITEMTUD,,Missing,,,,,,,,
z_line_comment_changes_____LINECCHG, ,13320,,,,,,,LINECCHG,,Missing,,,,,,,,
z_Line_Related_Comments_____LINECMNT, ,933555,,,,,,,LINECMNT,,Missing,,,,,,,,
z_Line_Comment_Code_Constants_____LINECNST, ,14,,,,,,,LINECNST,,Missing,,,,,,,,
z_List_/_Heat_Number_____LISTHEAT, ,19662,,,,,,,LISTHEAT,,Missing,,,,,,,,
z_Machine_File_____MACHINE, ,2,,,,,,,MACHINE,,Missing,,,,,,,,
z_Maintenance_history_____MAINTHIST, ,6363,,,,,,,MAINTHIST,,Missing,,,,,,,,
z_Material_Rejection_Major_Cause_code_____MAJREJ, ,17,,,,,,,MAJREJ,,Missing,,,,,,,,
z_MASSBPC_-_Mass_maint/base_price_____MASSBPC, ,5,,,,,,,MASSBPC,,Missing,,,,,,,,
z_MASSBPC_-_Mass_maint/base_price_.CSV_converter_____MASSBPCIFS, ,6,,,,,,,MASSBPCIFS,,Missing,,,,,,,,
z_Metalweb_FMG_interface_____METALFMG, ,8,,,,,,,METALFMG,,Missing,,,,,,,,
z_Material_Rejection_Minor_Cause_codes_____MINREJ, ,26,,,,,,,MINREJ,,Missing,,,,,,,,
z_Manifest_____MNFEST, ,374,,,,,,,MNFEST,,Missing,,,,,,,,
z_Material_Processing_Order_Detail_____MPDETAIL, ,455,,,,,,,MPDETAIL,,Missing,,,,,,,,
z_Material_Processing_Order_Header_____MPHDRORD, ,456,,,,,,,MPHDRORD,,Missing,,,,,,,,
z_M/P_Final_Detail_____MPHSTDET, ,1872,,,,,,,MPHSTDET,,Missing,,,,,,,,
z_M/P_Final_Header_____MPHSTHDR, ,1869,,,,,,,MPHSTHDR,,Missing,,,,,,,,
z_M/P_Final_Processing_Charges_____MPHSTPRC, ,6167,,,,,,,MPHSTPRC,,Missing,,,,,,,,
z_M/P_Final_Restock_____MPHSTRSK, ,7656,,,,,,,MPHSTRSK,,Missing,,,,,,,,
z_M/P_Final_Used_____MPHSTUSE, ,6554,,,,,,,MPHSTUSE,,Missing,,,,,,,,
z_Output_file_for_DSPFD_TYPE(*MBRLIST)_____MPMISS, ,2,,,,,,,MPMISS,,Missing,,,,,,,,
z_Material_Processing_Order_Profile_____MPPROFIL, ,456,,,,,,,MPPROFIL,,Missing,,,,,,,,
z_MP_Setup_Control_File_____MPSETUP, ,1924,,,,,,,MPSETUP,,Missing,,,,,,,,
z_MP_Tracking_File_____MPTRCK, ,1748,,,,,,,MPTRCK,,Missing,,,,,,,,
z_MP_Tracking_History_File_____MPTRKHST, ,26661,,,,,,,MPTRKHST,,Missing,,,,,,,,
z_Material_Rejection_Transaction_File_____MRTRANS, ,21,,,,,,,MRTRANS,,Missing,,,,,,,,
z_Setup_Whole_Order_Line_Related_Comments_____MSWOCMNT, ,7,,,,,,,MSWOCMNT,,Missing,,,,,,,,
z_Customer_Master_File_____MWARCUST, ,980,,,,,,,MWARCUST,,Missing,,,,,,,,
z_mw100_reset_audit_trail_____MWRESET, ,1824,,,,,,,MWRESET,,Missing,,,,,,,,
z_Credit-Held_Order_Release_File_____OECRRELS, ,48601,,,,,,,OECRRELS,,Missing,,,,,,,,
z_Order_Detail_File_____OEDETAIL, ,151243,,,,,,,OEDETAIL,,Missing,,,,,,,,
z_Quote_/_Order_Detail_History_File_____OEHISTRD, ,293623,,,,,,,OEHISTRD,,Missing,,,,,,,,
z_Quote_/_Order_History_Header_File_____OEHISTRY, ,299363,,,,,,,OEHISTRY,,Missing,,,,,,,,
z_Open_Order_File_____OEOPNORD, ,153764,,,,,,,OEOPNORD,,Missing,,,,,,,,
z_Order_Profile_File_____OEPROFIL, ,153770,,,,,,,OEPROFIL,,Missing,,,,,,,,
z_Order_Ship_Instructions_____OESHPINS, ,186850,,,,,,,OESHPINS,,Missing,,,,,,,,
z_Operational_Information_____OPERINFO, ,6705,,,,,,,OPERINFO,,Missing,,,,,,,,
z_Order_Tracking_File_____ORDTRCK, ,151170,,,,,,,ORDTRCK,,Missing,,,,,,,,
z_Order_Tracking_File_____ORDTRHST, ,2840862,,,,,,,ORDTRHST,,Missing,,,,,,,,
z_partxml0_____PARTXMNT, ,3733,,,,,,,PARTXMNT,,Missing,,,,,,,,
z_Customer_Part_Number_Cross_Reference_____PARTXRF, ,28,,,,,,,PARTXRF,,Missing,,,,,,,,
z_PC_Tracking_File_____PCTRCK, ,41606,,,,,,,PCTRCK,,Missing,,,,,,,,
z_Physical_Analysis_File_____PHYSTAGM, ,8,,,,,,,PHYSTAGM,,Missing,,,,,,,,
z_Picker_Detail_File_____PICKDTL, ,147991,,,,,,,PICKDTL,,Missing,,,,,,,,
z_Price_Matrix_File_____PMATRX, ,13,,,,,,,PMATRX,,Missing,,,,,,,,
z_Price_Matrix_File_____PMATRX_B4, ,149,,,,,,,PMATRX_B4,,Missing,,,,,,,,
z_P/O_Cash_Movement_____POCASHMV, ,1302,,,,,,,POCASHMV,,Missing,,,,,,,,
z_Purchase_Order_Change_File_____POCHANGE, ,1261,,,,,,,POCHANGE,,Missing,,,,,,,,
z_PO_Delivery_Date_Change_Log_____POCHGLOG, ,4558,,,,,,,POCHGLOG,,Missing,,,,,,,,
z_PO_Company_SMO_File_____POCMPSMO, ,45504,,,,,,,POCMPSMO,,Missing,,,,,,,,
z_Purchase_Order_Comment_File_(Whole_Order)_____POCOMMNT, ,558,,,,,,,POCOMMNT,,Missing,,,,,,,,
z_Purchase_order_delete_file_____PODELET, ,103,,,,,,,PODELET,,Missing,,,,,,,,
z_Purchase_Order_Detail_File_____PODETAIL, ,5000,,,,,,,PODETAIL,,Missing,,,,,,,,
z_Purchase_Order_Header_File_____POHEADER, ,5026,,,,,,,POHEADER,,Missing,,,,,,,,
z_Purchase_Order_Header_File_____POHEADERBH, ,743,,,,,,,POHEADERBH,,Missing,,,,,,,,
z_Purchase_Order_Mark/Pack/Load_____POMKPKLD, ,2835,,,,,,,POMKPKLD,,Missing,,,,,,,,
z_Port_of_Entry_File_____PORTNTRY, ,5,,,,,,,PORTNTRY,,Missing,,,,,,,,
z_Posting_Period_File_____POSTPRD, ,9,,,,,,,POSTPRD,,Missing,,,,,,,,
z_PO_Tracking_File_____POTRCK, ,17262,,,,,,,POTRCK,,Missing,,,,,,,,
z_PO_Tracking_History_File_____POTRKHST, ,112129,,,,,,,POTRKHST,,Missing,,,,,,,,
z_Process_Charges__-_Header_____PRCHCHRG, ,38830,,,,,,,PRCHCHRG,,Missing,,,,,,,,
z_Process_Charges__-_Test_Quantity_____PRCHTQTY, ,34992,,,,,,,PRCHTQTY,,Missing,,,,,,,,
z_Process_Charges__-_Transactions_____PRCTCHRG, ,68534,,,,,,,PRCTCHRG,,Missing,,,,,,,,
z_Process_Charges__-_Dimensions_____PRCTDIM, ,32,,,,,,,PRCTDIM,,Missing,,,,,,,,
z_Product_Class/Subclass_File_____PRDSBCLS, ,412,,,,,,,PRDSBCLS,,Missing,,,,,,,,
z_Produced_From_____PRODFROM, ,47861,,,,,,,PRODFROM,,Missing,,,,,,,,
z_PRODPROC_--Production_Process_Codes_____PRODPROC, ,105,,,,,,,PRODPROC,,Missing,,,,,,,,
z_Print_Request_File_____PRTREQST, ,5,,,,,,,PRTREQST,,Missing,,,,,,,,
z_Purchase_Comments_____PURCCOMM, ,7,,,,,,,PURCCOMM,,Missing,,,,,,,,
z_Rcptcost_-_PO_receipt_cost_history_____RCPTCOST, ,36297,,,,,,,RCPTCOST,,Missing,,,,,,,,
z_Purchase_Order_Receipt_History_____RCPTHIST, ,15489,,,,,,,RCPTHIST,,Missing,,,,,,,,
z_RECONHST_--Reconciliation_History_____RECONHST, ,92067,,,,,,,RECONHST,,Missing,,,,,,,,
z_Remote_Inventory_On_Hand_File_____REMOTEOH, ,1141,,,,,,,REMOTEOH,,Missing,,,,,,,,
z_Inventory_Restock_File_____RESTOCK, ,113922,,,,,,,RESTOCK,,Missing,,,,,,,,
z_Risk_Status_File_____RISKSTAT, ,9,,,,,,,RISKSTAT,,Missing,,,,,,,,
z_Sales_Analysis_Daily_file_____SADAILY, ,5,,,,,,,SADAILY,,Missing,,,,,,,,
z_S/A_Gross_Profit_Adjustment_Physical_file_____SAGPADJ, ,18854,,,,,,,SAGPADJ,,Missing,,,,,,,,
z_Sales_Budgeting_File_____SALESBUD, ,1302,,,,,,,SALESBUD,,Missing,,,,,,,,
z_Salesman_Master_File_____SALESMAN, ,36,,,,,,,SALESMAN,,Missing,,,,,,,,
z_Customer_Sales_Objective_File_____SALESOBJ, ,10042,,,,,,,SALESOBJ,,Missing,,,,,,,,
z_Salestax_File_____SALESTAX, ,60,,,,,,,SALESTAX,,Missing,,,,,,,,
z_Sales_Analysis_Monthly_file_____SAMTHLY, ,312,,,,,,,SAMTHLY,,Missing,,,,,,,,
z_SUBFILE_DISPLAY_CONTROL_OPTIONS_FILE_____SFILEDFT, ,49,,,,,,,SFILEDFT,,Missing,,,,,,,,
z_Sheet/Split_Coil_Analysis_File_____SHEETANL, ,20020,,,,,,,SHEETANL,,Missing,,,,,,,,
z_Customer_Ship_To_Address_File_____SHIPADR, ,3295,,,,,,,SHIPADR,,Missing,,,,,,,,
z_Customer_Ship_To_Background_Information_____SHIPBCKG, ,2,,,,,,,SHIPBCKG,,Missing,,,,,,,,
z_ShipTo_Dispatch_info_____SHIPDISP, ,658,,,,,,,SHIPDISP,,Missing,,,,,,,,
z_Shipments_File_____SHIPMAST, ,150390,,,,,,,SHIPMAST,,Missing,,,,,,,,
z_Customer_Ship_To_Instruction_File_____SHPINST, ,731,,,,,,,SHPINST,,Missing,,,,,,,,
z_Shipment_Summary_File_____SHSUMM, ,35983,,,,,,,SHSUMM,,Missing,,,,,,,,
z_Standard_Industry_Code_File_____SICODE, ,427,,,,,,,SICODE,,Missing,,,,,,,,
z_Salesman_Recap_-_Calc_d_Sales_Figures_(Workfile)_____SLMNRCAP, ,2103,,,,,,,SLMNRCAP,,Missing,,,,,,,,
z_Salesman_Summary_file_MTD_____SLMNSUM, ,2103,,,,,,,SLMNSUM,,Missing,,,,,,,,
z_S/A_Item_Summary_MTD-Inventory_reports_____SLSASMT, ,58148,,,,,,,SLSASMT,,Missing,,,,,,,,
z_S/A_Item_Summary_YTD-Inventory_reports_____SLSASYT, ,10704,,,,,,,SLSASYT,,Missing,,,,,,,,
z_Sales_Description_Override_____SLSDSCOV, ,165327,,,,,,,SLSDSCOV,,Missing,,,,,,,,
z_SLITTER_SET-UP_PRODUCED_(MADE)_ITEM_FILE_____SLTML, ,3818,,,,,,,SLTML,,Missing,,,,,,,,
z_SLITTER_SET-UP_USED_ITEM_FILE_____SLTUL, ,9009,,,,,,,SLTUL,,Missing,,,,,,,,
z_Service_Purchase_Order_Detail_File_____SPDETAIL, ,347067,,,,,,,SPDETAIL,,Missing,,,,,,,,
z_Service_Purchase_Order_Header_File_____SPHEADER, ,54512,,,,,,,SPHEADER,,Missing,,,,,,,,
z_SPO_Tracking_File_____SPOTRCK, ,385207,,,,,,,SPOTRCK,,Missing,,,,,,,,
z_Surface_condition_____SURFCOND, ,11,,,,,,,SURFCOND,,Missing,,,,,,,,
z_System_Parameter_Last_Maintained_Reference_File_____SYSCNSLM, ,83,,,,,,,SYSCNSLM,,Missing,,,,,,,,
z_TAGBUILD_--Tag_Build_Up_____TAGBUILD, ,5511,,,,,,,TAGBUILD,,Missing,,,,,,,,
z_Tag_Related_Comments_____TAGCMNT, ,5,,,,,,,TAGCMNT,,Missing,,,,,,,,
z_Tag_Location_Movement_History_____TAGLOCMV, ,508956,,,,,,,TAGLOCMV,,Missing,,,,,,,,
z_TAGTRAN_--_Tag_Status_transaction_____TAGTRAN, ,304505,,,,,,,TAGTRAN,,Missing,,,,,,,,
z_Tax_Exemption_File_____TAXEXMPT, ,845,,,,,,,TAXEXMPT,,Missing,,,,,,,,
z_Master_Terms_Code_File_____TERMS, ,154,,,,,,,TERMS,,Missing,,,,,,,,
z_Tolerance_Details_for_Main_Lines_____TLDETAIL, ,112352,,,,,,,TLDETAIL,,Missing,,,,,,,,
z_Tracking_Outputq_File_____TRKOUTQ, ,90,,,,,,,TRKOUTQ,,Missing,,,,,,,,
z_User_Defined_Data_-_Validation_List_____UDFDATAL, ,9,,,,,,,UDFDATAL,,Missing,,,,,,,,
z_User_Defined_Data_-_Data_Type_Definition_____UDFDATAT, ,2,,,,,,,UDFDATAT,,Missing,,,,,,,,
z_User_Defined_Data_-_Data_Values_____UDFDATAV, ,2,,,,,,,UDFDATAV,,Missing,,,,,,,,
z_Upload_Data_from_IFS_____UPINPF, ,115,,,,,,,UPINPF,,Missing,,,,,,,,
z_Upload_PC_file_for_Batch_Scanners_____UPLOADPI, ,521,,,,,,,UPLOADPI,,Missing,,,,,,,,
z_Used_line_pallet_info_____USEDBLD, ,206158,,,,,,,USEDBLD,,Missing,,,,,,,,
z_Used_Line_File_____USEDLINE, ,206285,,,,,,,USEDLINE,,Missing,,,,,,,,
z_Usetax_File_____USETAX, ,52,,,,,,,USETAX,,Missing,,,,,,,,
z_Vendor_P.O._Instructions_____VENDINST, ,2,,,,,,,VENDINST,,Missing,,,,,,,,
z_Vendor_Mail_To_Address_File_____VENDMAIL, ,802,,,,,,,VENDMAIL,,Missing,,,,,,,,
z_VENDPFR_Vendor_Performance_File_____VENDPRFM, ,815,,,,,,,VENDPRFM,,Missing,,,,,,,,
z_Vendor_Quality_Approval_File_____VENDQUAL, ,323,,,,,,,VENDQUAL,,Missing,,,,,,,,
z_Vendor_Remit_To_Address_File_____VENDREMT, ,730,,,,,,,VENDREMT,,Missing,,,,,,,,
z_Vendor_Ship_To_Address_File_____VENDSHIP, ,789,,,,,,,VENDSHIP,,Missing,,,,,,,,
z_Vendor_Request_Header_File_____VNDREQHD, ,304,,,,,,,VNDREQHD,,Missing,,,,,,,,
z_E/C_Customer_____WEBCUST, ,4,,,,,,,WEBCUST,,Missing,,,,,,,,
z_fax/email_wire_transfer/ach_payments_____WFAP855W, ,44,,,,,,,WFAP855W,,Missing,,,,,,,,
z_Work_file_to_hold_documents_to_be_faxed_____WFFAXEMAIL, ,5575,,,,,,,WFFAXEMAIL,,Missing,,,,,,,,
z_Work_File_-_IN896_-_Inventory_Dollars_Sold_____WFIN8960, ,9,,,,,,,WFIN8960,,Missing,,,,,,,,
z_Daily_invoicing_analysis_____WFOE895, ,70,,,,,,,WFOE895,,Missing,,,,,,,,
z_WHMPTRC_--PF_File_Mask_____WHMPTRC, ,13,,,,,,,WHMPTRC,,Missing,,,,,,,,
z_Whole_Order_Charge_Transaction_File_____WHOLORCH, ,1890,,,,,,,WHOLORCH,,Missing,,,,,,,,
z_Warehouse_Order_Tracking_Code_File_____WHORDTRC, ,173,,,,,,,WHORDTRC,,Missing,,,,,,,,
z_Warehouse_Process_Charges_Tracking_Code_File_____WHPCTRC, ,6,,,,,,,WHPCTRC,,Missing,,,,,,,,
z_Warehouse_PO_Tracking_Code_File_____WHPOTRC, ,36,,,,,,,WHPOTRC,,Missing,,,,,,,,
z_Warehouse:_District/Code_____WHSEMCOD, ,6,,,,,,,WHSEMCOD,,Missing,,,,,,,,
z_Warehouse_Order_Tracking_Email_File_____WHTRCKEM, ,26,,,,,,,WHTRCKEM,,Missing,,,,,,,,
z_outbound_820_ach_vendor_____X820OAB, ,2174,,,,,,,X820OAB,,Missing,,,,,,,,
z_outbound_820_ach_detail_____X820OAD, ,14269,,,,,,,X820OAD,,Missing,,,,,,,,
z_outbound_820_ach_header_____X820OAH, ,63,,,,,,,X820OAH,,Missing,,,,,,,,
,,,,,,,,,,,error,APVDSTFM,z_A/P_Vendor_Distress_File_Format_____APVDSTFM,Accounts Payable,AP,V,DST,FM,AP Vendor Distress Format
,,,,,,,,,,,error,APVNDHST,z_A/P_Vendor_History_File_____APVNDHST,Accounts Payable,AP,VND,HST,,AP Vendor History
,,,,,,,,,,,error,APVOHST,z_A/P_Voucher_History_File_____APVOHST,Accounts Payable,AP,VO,HST,,AP Voucher History
,,,,,,,,,,,error,ARBILL1,z_A/R_BILL1__-_RM_____ARBILL1,Accounts Receivable,AR,BILL,1,,AR Billing 1
,,,,,,,,,,,error,ARBOL,z_A/R_Bill_of_Lading_File_____ARBOL,Accounts Receivable,AR,BOL,,,AR Bill of Lading
,,,,,,,,,,,error,ARCUSGL,z_Customer_-_Credit_Customer_to_GL_Account_____ARCUSGL,Accounts Receivable,AR,CUS,GL,,AR Customer to GL
,,,,,,,,,,,error,ARCUSHST,z_Customer_Master_History_File_____ARCUSHST,Accounts Receivable,AR,CUS,HST,,AR Customer History
,,,,,,,,,,,error,ARCUSPAY,z_Customer_-_Method_of_Payment_____ARCUSPAY,Accounts Receivable,AR,CUS,PAY,,AR Customer Payment Method
,,,,,,,,,,,error,ARCUSREAS,z_AR/CUS_reasoncode_File_____ARCUSREAS,Accounts Receivable,AR,CUS,REAS,,AR Customer Reason Code
,,,,,,,,,,,error,ARDELINQ,z_Delinquent_Accounts_File_____ARDELINQ,Accounts Receivable,AR,DELINQ,,,AR Delinquent Accounts
,,,,,,,,,,,error,ARINVHST,z_AR/Invoice_History_File_____ARINVHST,Accounts Receivable,AR,INV,HST,,AR Invoice History
,,,,,,,,,,,error,ARTOTAL,z_AR/Total_Distribution_File_____ARTOTAL,Accounts Receivable,AR,TOTAL,,,AR Total Distribution
,,,,,,,,,,,error,BADCHECKS,z_AR_Bad_Checks_____BADCHECKS,Accounts Receivable,BAD,CHECKS,,,Bad Checks
,,,,,,,,,,,error,BOOKNUM,z_Book_Number_File_____BOOKNUM,Books,BOOK,NUM,,,Book Number
,,,,,,,,,,,error,BDSEPR_B4,z_BD_Revenue_Separator_____BDSEPR_B4,Business Development,BD,SEPR,B4,,Business Development Revenue Separator Backup
,,,,,,,,,,,error,CCLSTAG,z_Customer_Class_-_Tag_____%_%_____CCLSTAG,Customer Management,C,CLS,TAG,,Customer Class Tag
,,,,,,,,,,,error,CHGPOHST,z_Change_PO_History_File_____CHGPOHST,Change History,CHG,PO,HST,,Change PO History
,,,,,,,,,,,error,CMMAST,z_CM_Master_____CMMAST,CM Management,CM,MAST,,,CM Master
,,,,,,,,,,,error,CMMITEMF,z_CM_Item_File_____CMMITEMF,CM Management,CM,M,ITEMF,,CM Item File
,,,,,,,,,,,error,COLCODES,z_Collector_Codes_____COLCODES,Collections,COL,CODES,,,Collector Codes
,,,,,,,,,,,error,COMAJOR,z_Company_-_Major_____%_%_____COMAJOR,Company,CO,MAJOR,,,Company Major
,,,,,,,,,,,error,COMINOR,z_Company_-_Minor_____%_%_____COMINOR,Company,CO,MINOR,,,Company Minor
,,,,,,,,,,,error,COMPCMT,z_Company_Comment_File_____COMPCMT,Company,COMP,CMT,,,Company Comment
,,,,,,,,,,,error,COMPSMOV,z_Company_-_Ship_Method_Override_____COMPSMOV,Company,COMP,SM,OV,,Company Ship Method Override
,,,,,,,,,,,error,CRAP,z_Credit_Memo_-_Apply_to_AP_____CRAP,Credit Management,CR,AP,,,Credit Memo Apply to AP
,,,,,,,,,,,error,CRAPPLY,z_Credit_Memo_Apply_File_____CRAPPLY,Credit Management,CR,APPLY,,,Credit Memo Apply
,,,,,,,,,,,error,CUSINFO,z_Customer_Information_____CUSINFO,Customer Management,CUS,INFO,,,Customer Information
,,,,,,,,,,,error,CUSINSP,z_Customer_Inspection_____CUSINSP,Customer Management,CUS,INSP,,,Customer Inspection
,,,,,,,,,,,error,CUSPR,z_Customer_Price_Class_____CUSPR,Customer Management,CUS,PR,,,Customer Price Class
